Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0603,3,0.1 uF,
"C2, C4, C6",0603,3,4700 pF,
"IC1, IC2, IC3",SOT95P237X112-3N,3,ESD2CANFD24DBZRQ1,
"J1, J6, J8","TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",3,Screw_Terminal_01x03,
"J2, J3, J4, J5, J7, J9","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",6,Screw_Terminal_01x02,
"JP1, JP2, JP5, JP9",61300311121,4,Jumper_3_Open,
"JP10, JP3, JP4, JP6, JP7, JP8",61300211121,6,Jumper_2_Open,
"R1, R10, R11, R2, R7, R8",0603,6,60,
"R3, R6, R9",0603,3,300,
"R4, R5",0603,2,120,
"U1, U2, U3",SOIC8-N_MC_MCH,3,MCP2561FD-H/SN,
